,Date Created,Number of Likes,Source of Tweet,Tweets
0,2023-02-04 14:59:14+00:00,398,Twitter for Android,Forgive me Delilah I just couldn't take anymore #WALvIRE https://t.co/kNkEhP7GnR
1,2023-02-03 19:47:08+00:00,315,Twitter for Android,@redbullracing There IS a difference between them #RB19 https://t.co/Gphf7t6rba
2,2023-02-03 16:10:12+00:00,84,Twitter Web App,@Sonichead It paid extra last year
3,2023-02-03 16:01:20+00:00,653,Twitter Web App,There IS a difference between them #RB19 https://t.co/SO0u36e3Wd
4,2023-02-03 13:31:58+00:00,29,Twitter Web App,"@Jtjohnftaylor If you look closely, John, you'll see that it's not plugged in"
5,2023-02-03 12:24:40+00:00,828,Twitter Web App,small curry on
6,2023-02-03 11:15:30+00:00,1,Twitter Web App,@aimhighflygirl @askryanair Stap it 🥲❤️
7,2023-02-03 11:15:01+00:00,1,Twitter Web App,@Lucky29Luke Fake news
8,2023-02-03 08:31:00+00:00,68,Twitter Web App,.@askryanair team working together to solve your customer queries https://t.co/Kp8fosuz6Q
9,2023-02-02 17:48:00+00:00,476,Twitter Web App,"One rule for them, another rule for everyone else https://t.co/yM9o2rKjvt"
10,2023-02-02 14:40:27+00:00,5,Twitter Web App,@stefansefe The flights are even cheaper
11,2023-02-02 11:28:11+00:00,48,Twitter Web App,"Our team to @askryanair when they solve your customer queries. Contact them now, they're ready to help you! https://t.co/02CPpS74Ro"
12,2023-02-02 08:00:00+00:00,48,Twitter for Advertisers,ST. PATRICK'S DAY IN IRELAND! 🍀 FLIGHTS FROM 24.99!
13,2023-02-01 14:21:12+00:00,0,Twitter Web App,"@sammyjotton Hi Samantha Jane, please contact our cs team through DM in @askryanair for assistance. Ana"
14,2023-02-01 12:55:39+00:00,4,Twitter Web App,@elliotjtp Good
15,2023-01-31 16:25:05+00:00,314,Twitter Web App,@Danjesmeeth @sidlowe dId YoU tYpE tHiS wItH yOuR eLbOwS iN a RyAnAiR sEaT
16,2023-01-31 16:20:10+00:00,55,Twitter Web App,@doobry Every plane has a silver lining ✨
17,2023-01-31 16:19:23+00:00,129,Twitter Web App,@JSpur91 Planes can taxi too 😔
18,2023-01-31 16:18:28+00:00,400,Twitter Web App,@SimmoCummo Ex 💅 act 💅 ly 💅
19,2023-01-31 16:16:32+00:00,928,Twitter Web App,@sidlowe YoU'd PrObAbLy gEt PaSsEnGeRs iN tHeRe
20,2023-01-31 16:13:49+00:00,4,Twitter Web App,@Yopsycles @FabrizioRomano But...it's fwee 👉🥺👈
21,2023-01-31 14:20:20+00:00,25836,Twitter Web App,"It's a seat, not a kangaroo"
22,2023-01-31 10:30:48+00:00,51,Twitter Web App,@laoprovv @FabrizioRomano See ya next month 👍
23,2023-01-31 10:06:21+00:00,689,Twitter Web App,"Busier than @FabrizioRomano on Deadline Day

https://t.co/1RW5ZelpXr"
24,2023-01-30 17:13:34+00:00,13,Twitter Web App,@MoBuharii Mr. Zahawi would beg to differ
25,2023-01-30 17:04:53+00:00,8,Twitter Web App,@PrimeNumberOne God loves a trier
26,2023-01-30 17:01:29+00:00,8,Twitter Web App,@melissachoe He can afford them for sure
27,2023-01-30 16:57:20+00:00,11,Twitter Web App,@KodyScheier2 https://t.co/imTRzgIBzc
28,2023-01-30 14:46:39+00:00,9,Twitter Web App,@florianf856 https://t.co/G8u7z1dKgN
29,2023-01-30 14:46:13+00:00,9,Twitter Web App,@Giall0verde https://t.co/o5sCdEiEUw
30,2023-01-30 12:01:24+00:00,18,Twitter Web App,@DavidLetts63 A win is a win
31,2023-01-30 11:51:53+00:00,909,Twitter Web App,"Fly Ryanair, buy Marc Jacobs

Fly BA, buy Shein"
32,2023-01-30 10:25:50+00:00,105,Twitter Web App,".@Ryanair watching @AskRyanair solving our customers' queries. Contact them, they'll sort you out! https://t.co/UkOiV77tTz"
33,2023-01-29 19:44:03+00:00,43,Twitter for Android,@nbinsider63 we do that already so we're killing time.
34,2023-01-29 18:46:47+00:00,57,Twitter for Android,@nadhimzahawi https://t.co/MNss1xTqy4
35,2023-01-29 14:06:08+00:00,576,Twitter for Android,@Wonderlust_K be jammed with Tory ministers
36,2023-01-29 13:55:28+00:00,157,Twitter for iPhone,@1882Tom Nadhim swears by it.
37,2023-01-29 13:48:26+00:00,12342,Twitter for Android,Use Promo code: M1N1ST3R1AL https://t.co/d56UOe38tE
38,2023-01-27 21:08:43+00:00,1,Twitter for Android,@Felgona_ Kermi
39,2023-01-27 16:52:44+00:00,2652,Twitter Web App,what you see v what pringles see https://t.co/eUyUjeL4nY
40,2023-01-27 12:22:02+00:00,502,Twitter Web App,Skipped the boarding queue we heard
41,2023-01-27 11:49:08+00:00,302,Twitter Web App,https://t.co/VKbb4s93sE
42,2023-01-27 08:28:16+00:00,42,Twitter Web App,"That feeling when @AskRyanair solves your customer query. Contact them, they know everything! https://t.co/pH2BD4lE9u"
43,2023-01-26 20:36:56+00:00,5,Twitter for iPhone,@diondorfman plenty of it 💰
44,2023-01-26 20:30:10+00:00,896,Twitter for iPhone,Al-beoff https://t.co/ysP9pXPUmy
45,2023-01-26 08:00:01+00:00,115,Twitter for Advertisers,NOT READY FOR THE RING? 💍 THEY'LL LOVE A RYANAIR GIFT CARD!
46,2023-01-26 07:11:26+00:00,65,Twitter for Android,"@carolvorders does this mean we're special friends, Carol?"
47,2023-01-25 15:17:53+00:00,4,Twitter Web App,@youssefoussamah Just another day at the office tbh
48,2023-01-25 14:36:24+00:00,28,TweetDeck,@paul_winginit they just didn't suit you today; maybe the numbers you'll smash
49,2023-01-25 14:29:40+00:00,56,Twitter Web App,@danno_4200 https://t.co/cdYqhAuFZc
50,2023-01-25 14:25:32+00:00,5127,Twitter Web App,Today's Tory Conundrum... 🗣 #PMQs https://t.co/76O19bBuVl
